rank,name,alternates,distance_ly,x,y,z,spectral_class,spectral_type,luminosity,magnitude,star_count,wikipedia
381,Arcturus,Gl 541|16Alp Boo,36.72,-28.78,-19.35,12.06,K,K2IIIp,115.55799554021293,-0.05,1,Arcturus
382,Gl 361,,36.73,-29.39,20.36,8.39,M,M2,0.007783949326267261,10.38,1,
383,Gl 4 A and B,Gl 4,36.88,25.7,0.64,26.44,K,K2,0.08810039793112893,8.2,2,
384,Gl 325 A and B,Gl 325,36.9,-8.41,8.75,34.85,K,K5 V,0.0676191123238419,8.7,2,
385,HIP 48659,,36.93,-28.09,16.98,-16.92,,,0.0017060823890031225,12.04,1,
386,HIP 29052,,37,-1.12,33.31,-16.07,,,0.0020026266903409007,11.87,1,
387,Gl 362,,37.03,-10.45,7.12,34.81,M,M4,0.003753185242379138,11.19,1,
388,GJ 3149B,,37.06,26.3,17.84,-19.07,M,M4,0.0007099046158553,13,1,
389,GJ 4048A,,37.06,2.27,-28.8,23.21,M,m,0.0020100182471136908,11.87,1,
390,GJ 4049B,,37.06,2.27,-28.81,23.21,M,m,0.0004357124805031,13.53,1,
391,Gl 356 A and B,Gl 356|11    LMi,37.08,-24.3,17.71,21.7,G,G8IV-V,0.7797989432192409,5.4,2,
392,Gl 169,,37.16,13.33,31.79,13.87,K,K7V,0.05410034068634678,8.3,1,
393,Muphrid,Gl 534|8Eta Boo,37.17,-30.94,-16.92,11.73,G,G0IV,9.585173976856456,2.68,1,Muphrid
394,Gl 70,,37.22,33.41,16.17,2.8,M,M2V:,0.004817259035591625,10.93,1,
395,GJ 9520,,37.22,-22.12,-26.8,13.32,M,M9,0.0061773185859152,10.66,1,
396,Gl 902,,37.25,11.02,-0.98,-35.57,K,K3V,0.1656532649318018,7.09,1,
397,GJ 4070,,37.33,5.78,-31.19,19.69,M,M4,0.003541604004264614,11.27,1,
398,Gl 277.1,,37.42,-6.82,15.6,33.33,M,M0,0.007935969681957686,10.4,1,
399,GJ 4122,,37.49,14.11,-28.35,20.08,,,0.006564475019516991,10.61,1,
400,GJ 3500,,37.49,-15.89,21.22,-26.5,M,M3,0.002093148303447447,11.85,1,
401,Gl 317,,37.49,-22.21,26.24,-14.92,M,m,0.0018569491014904587,11.98,1,
402,GJ 3550,,37.49,-8.38,6.95,35.87,M,m,0.0001129275744209,15.02,1,
403,GJ 3966,,37.49,-11.07,-28.64,21.51,M,m,0.000759976214361,12.95,1,
404,Gl 567,,37.54,-25.79,-24.34,12.32,K,K2V,0.4591980128368683,6,1,
405,Gl 275.2 A and B,Gl 275.2,37.71,-9.69,23.19,28.11,M,sdM5,0.0006022123499178,13.56,2,
406,Gl 12,,37.79,36.65,2.53,8.86,M,dM3.5,0.0010864256236170645,12.58,1,
407,Gl 669 A and B,Gl 669,37.81,-5.89,-33.32,16.87,M,M4,0.0044873486364767476,11.26,2,
408,Gl 103,,37.85,21.35,17.04,-26.19,K,K7V comp SB,0.03259867889044682,8.89,1,
409,Gl 772,,37.88,18.44,-33.1,-0.69,A,DA6,0.0003890451449943,13.7,1,
410,Gl 851,,37.89,31.99,-16.39,11.98,M,M2,0.009332543007969896,10.25,1,
411,GJ 3039,,37.93,37.22,5.33,4.94,M,m,0.0009799411610956,12.7,1,
412,GJ 3442,,37.93,-13.48,33.28,-12.22,K,k-m,0.0004085074676631,13.65,1,
413,Gl 540.2,,37.93,-31.01,-20.35,-7.9,M,dM5.5e,0.0003366665743686,13.86,1,
414,GJ 3873,,37.93,-22.34,-21.28,22.05,M,M3.5,0.0014034598729211754,12.31,1,
415,Gl 118,,37.98,12.3,11.51,-34.05,M,M,0.0033759810485542515,11.36,1,
416,Gl 189,Zet Dor,37.98,4.81,19.85,-32.02,F,F7V,1.543121065657792,4.71,1,
417,GJ 1075,,38.03,4.78,19.83,-32.09,K,K7V,0.030283076942657767,8.98,1,
418,HIP 69454,,38.09,-17.46,-11.47,-31.85,M,M2V:,0.009880979539411276,10.2,1,
419,GJ 1234,,38.1,10.04,-27.98,23.83,D,DC7,0.0001766851298454,14.57,1,
420,Porrima A and B,Gl 482|29Gam Vir,38.11,-37.47,-6.89,-0.96,F,F0V+...,14.296660307259302,2.74,2,Porrima
421,Gl 494,,38.13,-35.94,-9.76,8.17,M,M2,0.014845676750522722,9.76,1,
422,Gl 848,24Iot Peg,38.25,30.45,-16.36,16.37,F,F5V,3.7187758332493557,3.77,1,
423,Gl 585,,38.33,-23.03,-28.41,11.51,M,M4,0.0004055085354484,13.68,1,
424,Gl 410,,38.39,-34.5,8.82,14.36,K,K,0.017930813770804414,9.57,1,
425,Gl 735,,38.4,9.1,-36.88,5.61,M,M2Ve,0.011005252214205412,10.1,1,
426,Gl 572,,38.47,-19.01,-19.17,27.4,M,M0,0.026497200988789625,9.15,1,
427,Gl 542,,38.48,-16.1,-11.18,-33.11,K,K3V,0.2627846540838492,6.66,1,
428,GJ 3266,,38.6,7.46,14.69,34.91,M,m,0.000400313282178,13.71,1,
429,GJ 3060A,,38.63,34.22,7.67,16.22,,,0.0019195525237613793,12.01,1,
430,Deneb Algedi,Gl 837|49Del Cap,38.7,31.1,-20.38,-10.75,A,A5mF2 (IV),8.8879171988482,2.85,1,Deneb_Algedi
431,Gl 277 A and B,Gl 277,38.71,-12.2,28.75,22.87,M,M3.5Ve,0.009939676704665468,10.52,2,
432,Gl 414 A and B,Gl 414,38.72,-32.62,7.07,19.62,K,K8V,0.07084960054755046,8.31,2,
433,GJ 1055,,38.74,25.89,28.01,6.74,M,m,0.0001409937949359,14.85,1,
434,GJ 3954,,38.83,-14.66,-34.03,-11.61,M,m,0.0002352881201938,14.3,1,
435,GJ 9780,,38.83,23.85,-10.48,-28.8,M,M3.5,0.0012234888053268141,12.51,1,
436,GJ 1243,,38.87,12.48,-23.68,28.19,M,m,0.0009128512193311,12.83,1,
437,Gl 96,,38.94,21.25,15.19,28.89,M,M2,0.021577444091526645,9.4,1,
438,Gl 403,,38.97,-36.16,11.04,9.43,M,dM3,0.001062673865402463,12.67,1,
439,GJ 1223,,39.06,0.37,-30.98,23.79,M,m,0.0001434828518233,14.85,1,
440,Gl 842,,39.09,17.04,-9.88,-33.77,M,M2,0.015892784698824686,9.74,1,
441,GJ 1179 A and B,GJ 1179,39.11,-31.91,-16.3,15.66,M,dM4  :,0.0001620413453684,15.32,2,
442,HD 89694,,39.14,-32.53,15.08,-15.7,K,K1III,0.006892868607318448,10.65,1,
443,GJ 3992,,39.15,-6.43,-29.98,24.34,,,0.003039484968770107,11.54,1,
444,GJ 1140,,39.15,-37.39,10.44,-5.13,A,DA6,0.000237028189913,14.31,1,
445,Gl 136,Zet1Ret,39.16,11.73,13.7,-34.76,G,G2V,0.7705485366297148,5.53,1,
446,HIP 115064,,39.2,34.94,-6.42,-16.56,,,0.0029621019360527643,11.57,1,
447,Gl 138,Zet2Ret,39.24,11.75,13.79,-34.81,G,G1V,1.0111137119549065,5.24,1,
448,Gl 268.3,,39.25,-11.42,33.01,17.91,,,0.005872188659713022,10.83,1,
449,GJ 3331A,,39.3,8.4,35.56,-14.45,M,M2,0.009682778562612486,10.29,1,
450,GJ 3332B,,39.3,8.4,35.56,-14.45,M,M3:,0.002741574171927878,11.66,1,
451,GJ 2092,,39.3,-15.75,-1.84,-35.97,D,DA/F,0.0003265878321723,13.97,1,
452,GJ 3727A,,39.3,-38.31,-4.85,-7.27,M,M2,0.005223961889991197,10.96,1,
453,GJ 3728B,,39.3,-38.31,-4.85,-7.27,G,g,0.0050350060878790424,11,1,
454,GJ 1053,,39.34,7.39,8.14,37.78,M,sdM6,0.0001765224717453,14.64,1,
455,Gl 180,,39.52,10.72,36.08,-12.06,M,M3,0.0055821306891772554,10.9,1,
456,Gl 624,Zet TrA,39.52,-5.23,-12.4,-37.16,F,F9V,1.4021678337057588,4.9,1,
457,Gl 598,27Lam Ser,39.54,-21.58,-32.74,5.06,G,G0Vvar,2.1837353276021747,4.42,1,
458,Gl 798,,39.63,15.62,-18.24,-31.52,K,K7V,0.03777461093882189,8.83,1,
459,Gl 359,,39.68,-30.23,20.96,14.88,M,M4,0.0002620595554733,14.23,1,
460,Gl 821,,39.69,28.39,-26.18,-9.13,M,M3,0.005786287388179515,10.87,1,
461,HD 10182,,39.78,34.79,16.21,10.47,K,K0,0.04369180633852877,8.68,1,
462,GJ 3518,,39.78,-25.19,26.24,-16.1,M,m,0.0003253868517801,14,1,
463,GJ 3533,,39.78,-26.84,25.24,-14.99,K,k-m,0.0002468311689697,14.3,1,
464,GJ 3647,,39.78,-32.43,6.91,21.97,M,dM4,0.0014467716832477213,12.38,1,
465,GJ 3800,,39.78,-34.5,-16.48,-10.97,M,m,0.0005157034063026,13.5,1,
466,Gl 309,,39.82,-21,26.68,-20.81,K,K0V,0.3640826637894007,6.38,1,
467,GJ 1288,,39.82,34.1,-2.55,20.4,M,m,0.0002342070694794,14.36,1,
468,GJ 1263,,39.87,33.32,-21.91,-0.12,M,M3.5,0.0011334438229710323,12.65,1,
469,Gl 82,,39.95,18.09,10.38,34.07,M,M4Ve,0.0017060823890031225,12.21,1,
470,Gl 590,,39.97,-18.47,-25.56,-24.55,M,M4,0.000992658806871,12.8,1,
471,Gl 211,,40.04,1.94,23.75,32.18,K,K1V,0.4309233228186262,6.21,1,
472,Gl 737 A and B,Gl 737,40.07,5.56,-21.71,-33.21,M,M2V,0.051472365216100296,8.86,2,
473,Gl 64,,40.07,36.32,16.55,-3.49,A,DA7,0.0009611695415159,12.84,1,
474,Gl 179,,40.08,11.63,38.09,4.52,M,M4,0.002201912211484475,11.94,1,
475,GJ 1097,,40.08,-15.11,37.05,-2.31,,,0.003394689053800783,11.47,1,
476,Gl 360,,40.08,-11.3,7.72,37.67,M,M3,0.007855973322609887,10.56,1,
477,Gl 192,,40.09,7.74,36.95,13.49,M,M5,0.006183010727517132,10.82,1,
478,Gl 806,,40.18,18.9,-21.54,28.16,M,M3,0.006385574850788391,10.79,1,
479,Gl 381,,40.23,-35.81,18.23,-1.88,M,M0,0.0073451386815711435,10.64,1,
480,Copernicus A and B,Gl 324|55Rho1Cnc,40.25,-24.23,25.85,19.1,G,G8V,0.5487831097518795,5.96,2,Copernicus
481,Gl 390,,40.27,-36.28,15.93,-7.15,M,M0,0.011566447741656449,10.15,1,
482,GJ 3052,,40.27,39.01,7.64,6.39,M,m,0.0004010513660866,13.8,1,
483,GJ 3263,,40.27,17.3,32.31,-16.69,M,M3.5,0.0014561294986160562,12.4,1,
484,GJ 3285,,40.27,15.71,36.09,8.51,D,DC8,0.0000837915067438,15.5,1,
485,GJ 3333,,40.27,8.65,37.31,12.43,K,k,0.0025775078699705376,11.78,1,
486,GJ 3567,,40.27,-16.76,10.88,34.96,M,M2,0.0010744841166445546,12.73,1,
487,GJ 4004,,40.27,-0.92,-6.81,-39.68,M,m,0.0019195525237613793,12.1,1,
488,GJ 4098,,40.27,10.02,-32.53,21.5,M,m,0.002530463049461394,11.8,1,
489,GJ 4201,,40.27,29.28,-21.99,16.74,M,m,0.0011460405911366018,12.66,1,
490,GJ 4350,,40.27,32.21,-3.26,-23.94,M,M4,0.0004317178444709,13.72,1,
491,Gl 46,,40.29,34.47,8.99,-18.83,,,0.002603754298938733,11.77,1,
492,Gl 601A,Bet TrA,40.37,-9.36,-15.44,-36.11,F,F2III,9.844643639803781,2.83,1,
493,Gl 671,,40.38,-5.25,-29.68,26.87,M,M4,0.0037809418668329608,11.37,1,
494,GJ 3356,,40.42,4.3,39,9.7,M,M3.5,0.002525806054831961,11.81,1,
495,Gl 435,,40.45,-28.8,2.39,-28.3,K,K5V,0.10442392185431738,7.77,1,
496,Gl 212,,40.57,1.94,24.06,32.61,M,M1,0.016504409856522788,9.78,1,
497,HIP 84051,,40.68,-5.25,-24.19,-32.28,,,0.01294195841449985,10.05,1,
498,GJ 1101,,40.72,-2.28,4.1,40.45,M,m,0.0007884969177454,13.09,1,
499,Gl 843,,40.72,33.41,-18.9,-13.58,M,M3,0.002093148303447447,12.03,1,
500,Gl 142,,40.75,23.62,30.2,-13.81,K,K5V,0.059868723724805915,8.39,1,
501,Gl 302,,40.75,-22.58,32.73,-8.91,K,K0V,0.566500111919533,5.95,1,
502,GJ 1068,,40.77,11.13,21.48,-32.82,,pec,0.0005035006087879,13.58,1,
503,GJ 3466A,,40.77,-17.08,31.16,-19.98,M,M4,0.0006053408747539,13.38,1,
504,GJ 3543,,40.77,-29.2,25.3,-13.02,M,M2,0.00682338694141669,10.75,1,
505,Gl 575 A and B,Gl 575|44    Boo,40.79,-19.11,-19.75,30.15,G,G2V + G2V,2.1792744408780536,4.83,2,
506,GJ 3028,,40.82,34.06,3.05,22.28,M,M6,0.0000518561177686,16.05,1,
507,GJ 3497,,40.82,-8.68,11.74,38.12,M,dM5.2,0.0000735868139651,15.67,1,
508,HD 215415,,40.88,38.68,-13.11,-1.89,F,F8,0.022929785918248208,9.44,1,
509,GJ 3250,,40.92,22.13,33.86,6.19,K,k-m,0.0002153773355662,14.51,1,
510,Gl 91,,40.93,28.94,19.14,-21.72,,,0.010308607400626252,10.31,1,
511,GJ 1029,,40.97,34.55,10.17,19.55,M,m,0.0001651961798229,14.8,1,
512,Gl 836.5,,40.97,31.59,-21.57,14.68,D,DQ6,0.0006950243175888,13.24,1,
513,Gl 26,,41.03,34.8,5.98,20.89,M,dM4,0.00519039010197082,11.06,1,
514,GJ 3708A,,41.06,-38.55,-1.88,-14.02,,,0.0029648313895243392,11.67,1,
515,Gl 197,15Lam Aur,41.2,5.59,31.01,26.54,G,G0V,1.8484171953696558,4.69,1,
516,GJ 3112,,41.29,14.36,6.92,-38.09,A,DA7,0.0003915615148396,13.88,1,
517,GJ 3292,,41.29,15.43,36.92,10.15,M,m,0.0005556483128371,13.5,1,
518,GJ 3357,,41.29,4.29,40.69,-5.49,M,M4,0.0010587660331136959,12.8,1,
519,Gl 261,,41.29,-10.94,39.54,-4.64,D,DA,0.0001088428737944,15.27,1,
520,GJ 3780,,41.29,-34.69,-13.25,-18.04,M,m,0.0009656060985415,12.9,1,
521,GJ 4062,,41.29,4.35,-31,26.91,M,m,0.002232543861616742,11.99,1,
522,GJ 4154,,41.29,3.95,-4.43,-40.86,M,m,0.0035059038393261267,11.5,1,
523,Gl 95,,41.32,30.53,21.18,-18.08,G,G8V,0.4107712125533876,6.33,1,
524,HD 304043,,41.33,-21.77,4.23,-34.88,M,M,0.003031098153584044,11.66,1,
525,GJ 1248,,41.34,21.15,-35.26,4.32,K,k-m,0.0020417379446695297,12.09,1,
526,Gl 810 A and B,Gl 810,41.34,27.81,-28.89,-10.03,M,M3.5 J,0.0016773839544807097,12.45,2,
527,GJ 1215,,41.39,-7.43,-39.85,8.37,M,m,0.0001278792262936,15.1,1,
528,Gl 863,,41.45,37.99,-15.15,6.75,M,M0V:,0.01010182870544832,10.36,1,
529,GJ 9716,,41.49,16.22,-15.77,-34.78,M,M4,0.0009935735005868,12.88,1,
530,Gl 67,,41.55,27.61,13.14,28.13,G,G2V,1.466898282206286,4.96,1,
531,Gl 516 A and B,Gl 516,41.62,-36.62,-15.69,12.04,M,M4Ve,0.005961673189534923,11.38,2,
532,Gl 454,,41.63,-40.94,-0.13,-7.55,K,K0IV,0.8629785477669701,5.54,1,
533,Gl 395,36    UMa,41.68,-21.57,8.87,34.55,F,F8V,1.6795773139880843,4.82,1,
534,Gl 620.1 A and B,Gl 620.1,41.68,-13.13,-29.51,-26.34,G,G3/G5V,1.0170621096955987,5.37,2,
535,Gl 206,,41.73,4.97,40.82,7.12,M,M4Ve,0.0034197944251370834,11.55,1,
536,GJ 3452,,41.74,-9.71,21.98,34.13,M,M0,0.004077556617502123,11.36,1,
537,Gl 675,,41.76,-2.45,-15.92,38.52,K,K0V,0.3787913037851566,6.44,1,
538,GJ 2045,,41.76,3.22,41.45,-3.98,M,m,0.0001103570289964,15.28,1,
539,GJ 4054,,41.76,1.88,-20.15,36.53,D,DC:9,0.0000784874103489,15.65,1,
540,GJ 3668,,41.81,-40.08,5.08,-10.79,M,m,0.0002754228703338,14.29,1,
541,GJ 1210,,41.81,-9.39,-40.39,5.36,M,m,0.0003564511334262,14.01,1,
542,GJ 1218,,41.81,-2.68,-19.15,-37.08,M,m,0.0012133888504649761,12.68,1,
543,GJ 4326,,41.81,38.71,-7.27,14.04,M,M4,0.002070141348791039,12.1,1,
544,GJ 4387,,41.81,34.62,-0.02,-23.45,M,M4,0.0010864256236170645,12.8,1,
545,Gl 775,,41.94,21.38,-36.01,2.43,K,K4V,0.14941699574067008,7.46,1,
546,GJ 2138,,42.03,6.85,-40.11,-10.52,M,M1V:,0.004450409766495373,11.28,1,
547,GJ 3722,,42.06,-16.22,-1.67,38.77,,,0.004839494493016622,11.19,1,
548,Gl 349,,42.1,-33.23,25.51,4.15,K,K3V,0.19124936418442073,7.2,1,
549,GJ 1073,,42.14,9.26,30.57,27.48,K,k,0.0006171631684556,13.43,1,
550,Onkaria,GJ 1214,42.14,-8.13,-41.19,3.64,M,m,0.00019696996149,14.67,1,Onkaria
551,HIP 13218,,42.25,18.68,17.14,-33.81,M,M,0.007530087105475891,10.72,1,
552,Gl 895,,42.28,22.22,-3.47,35.79,M,M2,0.014229839445793322,10.03,1,
553,GJ 3131,,42.36,33.9,20.24,-15.34,M,M3,0.004821697939006178,11.21,1,
554,GJ 3224,,42.36,26.27,32.94,4.33,M,m+,0.0001937313924582,14.7,1,
555,GJ 3309,,42.36,12.12,35.43,19.8,M,M2.5,0.0046046857837857376,11.26,1,
556,GJ 3981,,42.36,-10.91,-39.63,10.22,M,m,0.0008226213938831,13.13,1,
557,GJ 4368,,42.36,41.69,-1.71,7.32,M,M1,0.003691475581654127,11.5,1,
558,HD 40307,,42.39,0.55,21.17,-36.72,K,K3V,0.19934254564980927,7.17,1,
559,Gl 521,,42.43,-26.65,-12.34,30.62,M,M2,0.011814082519208863,10.24,1,
560,Gl 204,,42.47,5.82,41.99,-2.59,K,K5V,0.1285878692634399,7.65,1,
561,GJ 1077,,42.47,1.61,8.46,-41.58,M,M1.5 V,0.0025421431362049373,11.91,1,
562,GJ 3106,,42.52,16.97,8.01,38.16,B,B5,0.01388033666567234,10.07,1,
563,Gl 422,,42.52,-22.39,4.35,-35.87,M,m,0.0032389183499687726,11.65,1,
564,Gl 167,,42.55,11.15,22.84,-34.12,K,K5V,0.1302566786136689,7.64,1,
565,Gl 722,,42.67,6.73,-39.25,-15.33,G,G5V,0.6817105263058533,5.85,1,
566,HIP 76362,,42.69,-4.27,-5.87,-42.06,,,0.0032628717214308457,11.65,1,
567,Gl 592,,42.69,-24.19,-33.6,-10.42,M,M4,0.0012416523075924094,12.7,1,
568,Gl 707,,42.74,1.67,-30.99,-29.39,K,K7V,0.06649668571246753,8.38,1,
569,Gl 195 A and B,Gl 195,42.75,5.51,29.27,30.67,M,dM2,0.012934638315671577,10.2,2,
570,Capella A and B,Gl 194|13Alp Aur,42.8,5.59,29.21,30.79,M,M1: comp,199.51616666297613,0.08,2,Capella
571,GJ 3506,,42.8,-10.05,12.43,39.71,M,M3,0.0032210687912834312,11.67,1,
572,HIP 86963,,42.84,-2.18,-36.22,-22.76,M,M2V:,0.004176379929509734,11.39,1,
573,GJ 3036,,42.92,27.15,3.44,33.06,M,m,0.000828705077907,13.15,1,
574,GJ 1031,,42.92,35.95,11.04,-20.68,M,dM5,0.0006462491724954,13.42,1,
575,GJ 3372B,,42.92,0.01,22.38,36.62,M,m,0.0005680675741068,13.56,1,
576,GJ 3704,,42.92,-15,-0.36,40.21,M,M4,0.0008920721887253,13.07,1,
577,GJ 3817,,42.92,-36.43,-20.66,9.35,M,M3,0.0018810485289187044,12.26,1,
578,GJ 4044,,42.92,2.21,-38.5,18.83,M,m,0.0007085981269168,13.32,1,
579,Gl 425 A and B,Gl 425,42.93,-39.66,6.74,-15,K,K4/K5V,0.062341252672419474,8.57,2,
580,Gl 865,,42.99,16.79,-6.24,-39.08,,,0.003801893963205609,11.5,1,
581,Gl 469,,43,-42.2,-5.36,6.3,M,M:,0.002421029046736175,11.99,1,
582,Gl 174,,43.02,13.53,37.84,15.35,K,K3V,0.08798324994418663,8.09,1,
583,GJ 1092,,43.03,-7.29,33.53,25.97,M,m,0.0004751163763776,13.76,1,
584,HIP 56157,,43.06,-42.28,5.44,-6.06,,,0.0024501913368807802,11.98,1,
585,Gl 556,,43.11,-20.39,-16.14,34.39,K,K3V,0.19337485452952538,7.24,1,
586,GJ 3612,,43.14,-14.13,5.46,40.4,K,k-m,0.0025751349904103117,11.93,1,
587,Gl 525,,43.18,-36.87,-18.2,13.19,,,0.01851825243638179,9.79,1,
588,Gl 716,,43.22,5.57,-40.51,-14.01,K,K1V,0.2886689017948273,6.81,1,
589,Gl 507 A and B,Gl 507,43.27,-33.28,-12.04,24.89,M,M0,0.028023313016974912,9.48,2,
590,Gl 177,58    Eri,43.3,12.87,39.38,-12.61,G,G3V,0.9772372209558103,5.49,1,
591,Gl 164,,43.31,11.84,23.48,34.42,M,M3.5,0.000611504982517,13.5,1,
592,GJ 3001,,43.37,35.86,0.42,-24.4,D,DC9,0.0001688884694791,14.9,1,
593,GJ 3971,,43.37,-5.63,-15.54,40.1,M,m,0.0000846447448098,15.65,1,
594,Gl 732 A and B,Gl 732,43.37,7.87,-32.96,-27.07,G,sdG0,0.0013424697532499964,12.7,2,
595,GJ 3403,,43.38,-4.22,24.14,-35.8,K,K7V,0.01851825243638179,9.8,1,
596,Gl 597,,43.41,-5.98,-8.64,42.12,M,M4,0.0019971008660281844,12.22,1,
597,Gl 835,,43.44,31.3,-22.33,20.21,,,0.01806342083169975,9.83,1,
598,GJ 1088,,43.49,-1.51,31.56,-29.89,M,M3.5,0.001828100216142741,12.32,1,
599,GJ 3423,,43.49,-9.76,34.39,24.76,M,m,0.0008356030182312,13.17,1,
600,GJ 3586,,43.49,-24.1,12.61,33.93,K,k-m,0.0006338697112569,13.47,1,
601,GJ 3900,,43.49,-27.38,-32.4,-9.6,M,M3,0.0014387985782558436,12.58,1,
602,GJ 4239,,43.49,37.34,-22.24,-1.44,M,dM5,0.0002157744409153,14.64,1,
603,Gl 655,,43.58,-9.27,-39.46,16.01,M,M3,0.003528580258285267,11.61,1,
604,GJ 1012,,43.6,42.98,5.4,-5.06,M,M4,0.002070141348791039,12.19,1,
605,Gl 742,,43.6,3.75,-13.94,41.14,D,DXP5,0.0008165823713586,13.2,1,
606,Gl 774 A and B,Gl 774,43.72,9.31,-15.48,-39.83,M,m,0.005677519856468368,11.35,2,
607,Gl 528 A and B,Gl 528,43.73,-34.64,-17.85,19.84,K,K2,0.3366604541084196,7.05,2,
608,HD 281621,,43.86,17.05,32.29,24.29,M,M1,0.01334135682903104,10.18,1,
609,Gl 354 A and B,Gl 354|25The UMa,43.96,-21.83,16.32,34.49,F,F6IV,8.535408905596148,3.17,2,
610,Gl 427,,43.96,-40.45,6.37,16.01,A,DA7,0.0003185664236573,14.24,1,
611,Titawin,Gl 61|50Ups And,44,30.1,13.53,29.1,F,F8V,3.630780547701012,4.1,1,Titawin
612,GJ 3009,,44.08,23.93,0.88,-37,M,M4,0.002363741608116292,12.07,1,
613,GJ 3709B,,44.08,-41.37,-2.04,-15.05,M,m,0.0014242951649732906,12.62,1,
614,GJ 1267,,44.13,23.3,-10.59,-35.96,K,K7V,0.04081313915969717,8.98,1,
615,GJ 3371A,,44.14,0.04,23,37.67,M,M1,0.012670682249985478,10.25,1,
616,Gl 868,,44.19,36.12,-13.02,-21.88,K,K4/K5V,0.11803206356517291,7.83,1,
617,GJ 4006,,44.25,-6.5,-43.75,1.39,,,0.007001643593729743,10.9,1,
618,Gl 69,,44.28,17.57,8.54,39.74,K,K5V,0.06880183161430377,8.42,1,
619,Gl 104,,44.34,32.35,26.17,15.32,M,M2,0.008605973411928215,10.68,1,
620,Gl 146,,44.38,17.42,23.76,-33.2,K,K7V,0.06020048636844589,8.57,1,
621,Gl 767 A and B,Gl 767,44.4,16.86,-33.66,23.54,M,M1+...,0.02615059459160513,9.74,2,
622,Gl 184,,44.43,6.52,25.85,35.54,M,M0,0.01676486266073897,9.96,1,
623,Gl 656,,44.43,-4.69,-21.21,-38.76,K,K0V,0.1804679146556722,7.38,1,
624,Gl 386,,44.5,-39.19,18.95,-9.22,M,M0,0.006510284984348607,10.99,1,
625,GJ 1194 A and B,GJ 1194,44.5,-18.5,-26.44,30.61,M,m,0.0021397689097341754,12.48,2,
626,Gl 471,,44.51,-43.57,-5.98,6.82,M,M0:,0.020606299132700005,9.74,1,
627,GJ 1035,,44.56,4.26,1.54,44.33,M,m,0.0002008167804184,14.77,1,
628,Gl 5,,44.59,38.97,1.12,21.63,K,K0V,0.6075751461057411,6.07,1,
629,Alshain A and B,Gl 771|60Bet Aql,44.68,21.41,-38.9,4.99,G,G8IVvar,5.364942745206842,3.71,2,Alshain
630,GJ 3326,,44.68,10.56,42.56,8.57,M,m,0.0005166542425669,13.75,1,
631,Gl 398,,44.68,-41.55,15.94,3.99,M,dM4  e,0.0014900471117870978,12.6,1,
632,HIP 48336,,44.73,-36.97,23.29,-9.55,M,M0,0.015790649727284285,10.04,1,
633,Gl 428 A and B,Gl 428,44.73,-20.99,3.26,-39.36,K,K7V+...,0.28127815810624857,7.22,2,
634,Gl 904,17Iot Psc,44.73,44.34,-3.89,4.39,F,F7V,3.650900524844983,4.13,1,
635,Gl 215,,44.78,1.29,20.82,39.62,M,M0,0.040476224868787304,9.02,1,
636,GJ 3520,,44.8,-9.28,9.28,42.84,M,m,0.0003073264929204,14.32,1,
637,Gl 333,,44.8,-21.39,21.47,-33,M,M3,0.002185747548686934,12.19,1,
638,Gl 162,,44.86,17.45,33.03,24.86,M,M1,0.013957254577067674,10.18,1,
639,Gl 895.2,,44.86,44.27,-6.07,4.1,D,DAV4,0.0010018437657240246,13.04,1,
640,Gl 310,,44.93,-10.94,13.46,41.45,M,M2,0.03209223768048434,9.28,1,
641,Gl 813,,44.94,29.05,-29.71,17.1,M,M3,0.0026693160636242844,11.98,1,
642,HIP 107427,,44.94,34.81,-23.15,-16.51,,,0.006892868607318448,10.95,1,
643,Gl 853 A and B,Gl 853,44.96,24.08,-11.45,-36.2,G,G1V,1.205639821724469,5.36,2,
644,GJ 3779,,44.99,-38.3,-14.5,18.63,M,M3.5,0.0011148078033638425,12.93,1,
645,GJ 1270,,45.11,31.21,-12.96,29.88,M,m,0.0008348337537236,13.25,1,
646,Gl 524,,45.17,-23.76,-11.69,-36.6,K,k,0.0016703212258150418,12.5,1,
647,GJ 4169,,45.17,30.5,-32.27,8.32,M,m,0.0004313204006994,13.97,1,
648,Gl 394,,45.24,-23.39,9.64,37.5,K,K7 Ve,0.05597576014951096,8.69,1,
649,GJ 1292,,45.24,41.54,-0.41,17.9,K,k-m,0.003435579478998743,11.72,1,
650,Gl 615,,45.29,-10.86,-21.73,-38.23,K,K0V,0.16338041693006802,7.53,1,
651,Gl 512 A and B,Gl 512,45.3,-41.94,-17.02,-1.87,M,M4+...,0.005993479172908378,11.23,2,
652,GJ 3053,,45.3,42.86,8.53,-11.93,M,m,0.0003509134383586,14.2,1,
653,GJ 3336,,45.3,6.41,29.12,34.11,M,M2,0.004668743343920188,11.39,1,
654,GJ 3898,,45.3,-21.09,-23.56,32.44,M,m,0.000767714953769,13.35,1,
655,GJ 4055,,45.3,4.08,-39.73,21.38,M,M3,0.0016951182515314003,12.49,1,
656,GJ 4056,,45.3,4.75,-45.03,1.33,G,g,0.003084608137757138,11.84,1,
657,GJ 4279,,45.3,41.33,-17.75,5.38,M,dM3   :,0.0008653663429563,13.22,1,
658,Gl 606,,45.33,-22.45,-38.84,-6.51,M,M0,0.010715193052376054,10.49,1,
