rank,name,alternates,distance_ly,x,y,z,spectral_class,spectral_type,luminosity,magnitude,star_count,wikipedia
976,Gl 734 A and B,Gl 734,52.52,12.23,-50.08,10,M,dM0,0.040560697740548414,9.44,2,
977,HIP 17695,,52.61,28.75,44.02,-1.81,,,0.005238416190277907,11.59,1,
978,GJ 2010,,52.61,48.49,7.99,-18.76,A,DA7,0.0003493011375636,14.53,1,
979,GJ 1033,,52.61,45.99,15.26,-20.47,,,0.000491133999647,14.16,1,
980,GJ 3183,,52.61,33.51,31.2,25.9,M,m,0.000590472940407,13.96,1,
981,GJ 3223,,52.61,32.88,41.03,-1.67,D,DZ9,0.0000807606861329,16.12,1,
982,GJ 3455,,52.61,-13.22,29.63,-41.41,M,m,0.0023724660151048073,12.45,1,
983,GJ 1118,,52.61,-31.69,31.94,-27.27,K,k-m,0.000684226672766,13.8,1,
984,GJ 3540,,52.61,-34.55,31.1,24.62,M,m,0.0027491598965510363,12.29,1,
985,GJ 3573,,52.61,-41.66,24.92,20.26,M,m,0.0004733692033483,14.2,1,
986,GJ 3702,,52.61,-44.1,-0.76,-28.67,M,M4.5,0.0005691149576288,14,1,
987,GJ 3764,,52.61,-38.38,-11.98,-33.92,M,M3.5,0.001626297521013409,12.86,1,
988,GJ 3813,,52.61,-44.92,-24.04,13.1,M,M2,0.005048937562011549,11.63,1,
989,GJ 3884,,52.61,-36.72,-37.1,6.56,M,M3.5,0.0018331584286708515,12.73,1,
990,GJ 3910,,52.61,-27.75,-36.79,25.38,M,m,0.0004317178444709,14.3,1,
991,GJ 3945,,52.61,-20.56,-41.4,-25.11,M,M3.5,0.0014832009671818726,12.96,1,
992,GJ 1226,,52.61,4.8,-52.39,-0.97,M,M3.5,0.0018672393883829466,12.71,1,
993,GJ 4198,,52.61,31.72,-24.16,-34.32,M,M3,0.0012000518202042658,13.19,1,
994,GJ 3782B,,52.65,-49.12,-18.78,2.5,G,G5,0.2606153549998896,7.35,1,
995,Gl 165A,,52.69,15.05,29.92,40.67,M,M3.5,0.0007741052270741,13.67,1,
996,Gl 472,,52.76,-18.91,-2.79,-49.17,K,K0V,0.3203317600852811,7.13,1,
997,GJ 1136 A and B,GJ 1136,52.78,-39.92,14.16,-31.5,K,K7V,0.025107415749404637,10.19,2,
998,Gl 844,,52.78,44.04,-24.96,14.96,M,M2,0.01253141174941415,10.65,1,
999,GJ 1183 A and B,GJ 1183,52.78,-42.16,-31.75,-0.35,M,m,0.0011569768251873998,13.95,2,
1000,GJ 4079,,52.82,5.4,-24.16,-46.66,M,M3,0.011555799554021287,10.74,1,
