id,name,region,latitude,longitude,name_alternates,wikipedia,prominence_rank
y53-wik-me-anh,Wik Me'anh,Cape York & Torres Strait,-14.011775495896,141.9278174492,Wik Menh|Wik Meanha|Wik|Wik Meanha/Wikmean|Wikatinda|Wik Ompom|Wikampama|Wik Kalkan|Wik Ngathara|Wik Epa|Wikmean|Wiknatanja|Mimungkum|Wik Mungkana|Wiknantjara|Meian|Mejan|WikMeana|Wik Muinh|Wik Me enh,Wik-Me'nh language,101
c1-wirangu,Wirangu,Central Desert,-31.535987723207,133.5220740691,Hilleri|Jilbara|Naljara|Ngoleiadjara|Nonga|Tidni|Tidnie|Titnie|Wanbiri|Wangon|Warrangoo|Willeuroo|Windakan|Wirangga|Wirongu|Wirrongu|Wirrung|Wirrunga|Yilrea|Weerung|Wanggan|Yulbara|Julbari Wonnga|Yulbara wonga|Ulbarara|Youlbara|Willuro|Wilyaru|Kartawongulta|Nhangga|Hillery|Illarie|Ngadha Wangga|Ngadhu wangga|Warna biri|Wambira,Wirangu language,102
n37-wurrugu,Wurrugu,Top End & Arnhem (NT),-11.36143458276,132.09312361872,Popham Bay language|Iyi|Limpapiu|Wurango|Iji|Jarle|Lyi|Urugu|Warange|Warragu|Warrka|Warrooka|Wurengo|Wurruga|Yarlo|Wurangu|Wurrunga|Wurrango|Wuruku|Uruku|Auwul warwak|Wareidbug|Woreidbug|Warooko|Jalo|Limba Karadjee,Wurrugu language,103
n153-yanyuwa,Yanyuwa,Top End & Arnhem (NT),-15.802081068674,136.807861124,Yanyula|Wadirri|Yanuwa|Janjula|Wadere|Walu|Wardiri|anjula|Aniula|Anula|Anuwa|Anyoola|Anyula|Anyuwa|Djirukurumbant|Iangkala|Leanawa|Leeanuwa|Njangga|Njangkala|Unalla|Yangala|Yanula|Yanular|Yuckamurri|Yuggamurra|Janyula|Leealowa|Leeanwa|Wadidi|Wadiri|Yanngula|Wadeira|Waderi|Yanguwa|Yuggamurra for Janjula|Waderi for Wadere,Yanyuwa language,104
k1-yawuru,Yawuru,Kimberley (WA),-17.943893293162,122.62530039144,Yawur|Djauor|Jauor|Jawuru|Yawoorroo|Gawor|Jaoro|Jauro|Jauur|Kakudu Kakudu|Nawudu|Yaora|Yaoro|Yaoru|Yaroro|Yauera|Yauor|Yauro|Yawuri|Yawurr,Yawuru language,105
w37-yindjibarndi,Yindjibarndi,SW WA / Pilbara,-21.737661452051,117.86817738925,Yinjtjiparnrti|Burnugundi|Indjibandi|Jaurnmalu|Mandanjingu|Binjiebandie|Een ge pan ty|Indjiban|Indjibandje|Indjibandji|Ingibandi|Injibandi|Jana:ri|Jindiparndi|Jindjaparndi|Jindjibandi|Jindjibandji|Jindjibanji|Jindjiparndi|Kakardi|Mandanjong|Mardanjungu|Yanari|Yingiebandie|Yinjibarndi|Jindjibarndi|Yinytjiparnti|Mandanjongo,Yinjibarndi language,106
w19-yingkarta,Yingkarta,SW WA / Pilbara,-24.945648783161,114.53581854353,Ingada|Yinggarda|Angardie|Ingara|Inparra|Jinggarda|Mandi|Manthi|Tedei|Thirrily|Angaardi|Angaardie|Ingadi|Ingarda|Ingarra|Ingarrah|Inggadi|Inggarda|Ingra|Jaburu|Kakarakala|Kurudandi|YinggardaAngardie,Yinggarda language,107
y132-agwamin,Agwamin,Cape York & Torres Strait,-17.675669954614,144.16680574351,Wamin|Ewamin|Wakamon|Wakara|Ak Waumin|Wommin|Waumin|Wawmin|Walamin|Wimanja|Egwamin|Gwamin|Walming|Wailoolo,Wamin language,108
y32-alngith,Alngith,Cape York & Torres Strait,-12.643632525571,141.92671899576,Alingid|Alngid|Alingit|Laynngith|Winduwinda|Lengiti|Lenngiti|Limrett,Alngith dialect,109
c14-alyawarr,Alyawarr,Central Desert,-21.94837099764,135.53444633563,Aljawarra|Alyawarre|Iliaura|Aliawara|Aliwara|Aljawara|Alyawara|Ilawara|Iliama|Iljauara|Iljawara|Illiaura|Illura|Illyowra|Ilyauarra|Ilyowra|Jajuwara|Yalyuwara|Iljaura|Ilyaurra|Ja:wara|Ilaurainya|Udnla|Ilyuarra|Alyawarra|Alyuwara|Illaura|Iloura|Ilyawara|Ilywara|Jaljuwara|Alyawerr|Alyawarri|Arandic,,110
